Basic Statistics	21983	MS 204	8	3	12:45	14:15	TR	Ayers Hall 253	Lecture	Clint Adam Stanley
Basic Statistics	21984	MS 204	9	3	World Wide Web	Amy Paige Franklin				
Calculus III	21986	MS 227	1	4	11:15	12:45	MWF	Ayers Hall 214	Lecture	Jeffrey J Dodd
Introduction to Advanced Mathematics	21987	MS 300	1	3	08:15	09:45	MWF	Ayers Hall 216	Lecture	Jeffrey J Dodd
Applied Probability and Statistics	21988	MS 302	1	3	12:45	14:15	TR	Ayers Hall 216	Lecture	Janice Lynn Case
College Geometry	21990	MS 323	1	3	15:00	16:29	MW	Ayers Hall 116	Lecture	Jeffrey J Dodd
Differential Equations	21991	MS 344	1	3	09:15	10:45	TR	Ayers Hall 116	Lecture	Youngmi Kim
Linear Algebra	21992	MS 352	1	3	10:00	11:00	MWF	Ayers Hall 216	Lecture	Edwin H Smith
Mathematical Statistics II	21994	MS 404	1	3	11:00	12:30	TR	Ayers Hall 116	Lecture	Janice Lynn Case
Mathematical Statistics II	21995	MS 404	2	3	11:00	12:30	TR	Ayers Hall 116	Lecture	Janice Lynn Case
Advanced Calculus I	21997	MS 415	1	3	11:15	12:15	MWF	Ayers Hall 222	Lecture	Thomas E Leathrum
Abstract Algebra I	21998	MS 441	1	3	13:45	14:45	MWF	Ayers Hall 216	Lecture	Jaedeok Kim
Functions of a Complex Variable	21999	MS 451	1	3	15:00	16:29	MW	Ayers Hall 214	Lecture	Thomas E Leathrum
Functions of a Complex Variable	22000	MS 451	2	3	15:00	16:29	MW	Ayers Hall 214	Lecture	Thomas E Leathrum
Senior Seminar in Mathematics	22001	MS 475	1	3	14:30	16:00	TR	Ayers Hall 113	Lecture	David Wayne Dempsey
Real Variables I	22003	MS 515	1	3	10:00	11:00	MWF	Ayers Hall 116	Lecture	Thomas E Leathrum
Topics in Geometry for Teachers	22004	MS 523	1	3	16:30	18:00	MW	Ayers Hall 216	Lecture	Vijaya L. Gompa
Abstract Algebra II	22005	MS 542	1	3	16:30	18:00	TR	Ayers Hall 114	Lecture	Youngmi Kim
